id_farmacia,ean,stock,precio,promo
11,30120785,0,256.00,No Promo
11,30120815,0,282.00,No Promo
11,30120822,0,625.00,No Promo
11,30120839,0,408.00,No Promo
11,30120860,0,126.80,No Promo
11,30120877,0,126.80,No Promo
11,30120891,0,152.00,No Promo
11,30120907,0,152.00,No Promo
11,30121119,0,7293.00,No Promo
11,30121126,0,244.00,No Promo
11,30121133,0,244.00,No Promo
11,30121140,0,705.00,No Promo
11,30121157,0,6512.00,No Promo
11,30121171,0,705.00,No Promo
11,30121188,0,7740.00,No Promo
11,30121195,0,705.00,No Promo
11,30121201,0,705.00,No Promo
11,30121232,0,6512.00,No Promo
11,30121249,0,520.00,No Promo
11,30121256,0,705.00,No Promo
11,30121263,0,7293.00,No Promo
11,30121270,0,244.00,No Promo
11,30121294,0,705.00,No Promo
11,30121546,0,7627.00,No Promo
11,30121553,0,7627.00,No Promo
11,30121560,0,745.00,No Promo
11,30121577,0,745.00,No Promo
11,30121584,0,244.00,No Promo
11,30121614,0,187.00,No Promo
11,30121621,0,520.00,No Promo
11,30121645,0,705.00,No Promo
11,30121669,0,520.00,No Promo
11,30122031,0,1375.00,No Promo
11,30122055,0,705.00,No Promo
11,30122062,0,705.00,No Promo
11,30122079,0,705.00,No Promo
11,30122130,0,19905.00,No Promo
11,30122277,0,1094.00,No Promo
11,30122482,0,520.00,No Promo
11,30122505,0,24250.00,No Promo
11,30122512,0,8448.00,No Promo
11,30122604,0,520.00,No Promo
11,30122642,0,520.00,No Promo
11,30139398,0,189.80,No Promo
11,30139442,0,356.00,No Promo
11,30140028,0,1816.00,No Promo
11,30140929,0,812.00,No Promo
11,30143630,0,409.00,No Promo
11,30143630,0,2050.00,No Promo
11,30143654,1.000,22675.00,35%
11,30143678,1.000,22675.00,35%
11,30143692,0,687.00,No Promo
11,30143708,0,687.00,No Promo
11,30143715,0,687.00,No Promo
11,30143739,0,687.00,No Promo
11,30143937,0,331.00,No Promo
11,30143944,0,219.10,No Promo
11,30143951,0,234.50,No Promo
11,30143968,0,363.00,No Promo
11,30144361,0,22894.00,No Promo
11,30144378,0,22894.00,No Promo
11,30144385,4.000,22894.00,No Promo
11,30144491,0,22894.00,No Promo
11,30145382,4.000,18738.00,No Promo
11,30145405,1.000,18738.00,No Promo
11,30145429,2.000,18738.00,No Promo
11,30147942,2.000,18738.00,No Promo
11,30147959,2.000,18738.00,No Promo
11,30149472,2.000,22894.00,No Promo
11,30149489,1.000,22894.00,No Promo
11,30149496,0,22894.00,No Promo
11,30149502,1.000,22894.00,No Promo
11,30149519,2.000,22894.00,No Promo
11,30150508,0,17191.00,No Promo
11,30152052,2.000,22894.00,No Promo
11,30153066,0,18738.00,No Promo
11,30153080,3.000,18738.00,No Promo
11,30154841,0,687.00,No Promo
11,30155206,0,2276.00,No Promo
11,30156449,0,904.00,No Promo
11,30157439,0,1070.00,No Promo
11,30159983,0,1065.00,No Promo
